,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
319,Sorrento,4,IT,6/17/2021 18:02,75,40.626,14.3744,75.36,8.41
320,Grootfontein,0,,6/17/2021 18:02,27,-19.5667,18.1167,60.94,4.43
321,Hirara,100,JP,6/17/2021 18:02,86,24.8,125.2833,83.75,9.04
323,Kailahun,73,SL,6/17/2021 17:59,90,8.2833,-10.5667,78.24,1.86
324,Bathsheba,100,BB,6/17/2021 18:02,76,13.2167,-59.5167,82.06,19.8
325,Potam,82,MX,6/17/2021 18:02,36,27.6,-110.3833,99.77,4.29
328,Biltine,86,TD,6/17/2021 18:02,14,14.5333,20.9167,95.83,7.16
330,Koungou,20,YT,6/17/2021 18:02,78,-12.7336,45.2042,74.91,5.75
331,Katsuura,13,JP,6/17/2021 18:02,88,35.1333,140.3,66.06,8.68
332,Rosetta,0,EG,6/17/2021 18:02,66,31.4044,30.4164,72.9,11.9
334,Faya,93,SA,6/17/2021 18:02,33,18.3851,42.4509,74.21,1.99
338,Yoichi,27,JP,6/17/2021 18:02,92,43.2039,140.7703,57.7,4.03
339,Castro,99,BR,6/17/2021 18:01,68,-24.7911,-50.0119,58.48,1.74
340,Volksrust,49,ZA,6/17/2021 18:02,37,-27.3654,29.8818,50.76,3.15
343,Nouadhibou,2,MR,6/17/2021 18:02,82,20.930999999999997,-17.0347,68.49,28.39
345,Honiara,9,SB,6/17/2021 18:02,87,-9.4333,159.95,76.1,3.78
346,Adrar,4,MR,6/17/2021 18:02,10,20.5022,-10.0711,102.58,16.46
347,Bandarbeyla,91,SO,6/17/2021 18:02,82,9.4942,50.8122,77.58,30.27
349,Pangkalanbuun,99,ID,6/17/2021 18:02,99,-2.6833,111.6167,72.64,2.48
352,Aksu,59,CN,6/17/2021 18:02,23,41.1231,80.2644,72.73,3.38
353,Dhidhdhoo,92,MV,6/17/2021 18:02,79,6.8833,73.1,82.89,16.26
354,Alamosa,1,US,6/17/2021 18:02,31,37.4695,-105.87,78.82,8.05
355,Umluj,0,SA,6/17/2021 18:02,59,25.0213,37.2685,83.66,8.84
357,Bone,14,DE,6/17/2021 18:02,61,51.9669,12.1396,86.67,7.31
358,Lishan,100,CN,6/17/2021 18:02,65,31.8576,113.2951,70.83,5.48
361,Bengkulu,100,ID,6/17/2021 18:02,88,-3.8004,102.2655,75.02,4.92
363,Galle,97,LK,6/17/2021 18:02,86,6.0367,80.217,79.54,10.04
364,Mayumba,100,GA,6/17/2021 18:02,88,-3.432,10.6554,75.29,5.59
366,Teguise,20,ES,6/17/2021 18:02,60,29.0605,-13.564,71.82,11.5
368,Granada,20,ES,6/17/2021 18:02,48,37.1882,-3.6067,74.03,1.99
370,Mahajanga,0,MG,6/17/2021 18:02,49,-15.7167,46.3167,73.42,5.75
372,Lagoa,99,PT,6/17/2021 18:02,66,39.05,-27.9833,64.36,15.59
373,Prabumulih,100,ID,6/17/2021 18:02,98,-3.45,104.25,73.53,2.71
375,Rome,75,US,6/17/2021 18:02,45,43.2128,-75.4557,71.33,1.01
377,Katobu,73,ID,6/17/2021 18:02,94,-4.9408,122.5276,73.62,4.25
378,Chabahar,0,IR,6/17/2021 18:02,79,25.2919,60.643,86.76,9.42
379,Narnaul,9,IN,6/17/2021 18:02,54,28.0444,76.1083,88.57,10.83
380,Barranca,95,PE,6/17/2021 18:02,71,-10.75,-77.7667,70.0,9.95
381,Daru,100,PG,6/17/2021 18:02,88,-9.0763,143.2092,77.41,14.0
382,Smolenskaya,24,RU,6/17/2021 18:02,93,44.7887,38.8018,67.89,5.23
383,Baharly,0,TM,6/17/2021 18:02,11,38.4362,57.4316,87.73,4.9
384,Dongying,66,CN,6/17/2021 18:02,71,37.4564,118.4856,70.29,10.4
385,Bethel,0,US,6/17/2021 18:02,40,41.3712,-73.414,73.98,1.01
386,Rexburg,1,US,6/17/2021 18:02,25,43.826,-111.7897,74.28,12.66
388,Northam,44,GB,6/17/2021 18:02,73,51.0333,-4.2167,62.11,14.47
390,Laguna,1,US,6/17/2021 18:02,22,38.421,-121.4238,93.31,1.01
391,Huicheng,20,CN,6/17/2021 18:02,90,23.0385,116.2899,80.83,11.63
392,Esperance,96,AU,6/17/2021 18:02,57,-33.8667,121.9,55.38,2.66
393,Terney,100,RU,6/17/2021 18:02,96,45.0503,136.6092,54.75,1.83
394,Viedma,99,AR,6/17/2021 17:59,42,-40.8135,-62.9967,49.55,4.29
396,Kloulklubed,6,PW,6/17/2021 18:02,74,7.0419,134.2556,75.7,7.65
397,Pierre,96,US,6/17/2021 18:01,28,44.3683,-100.351,83.1,6.06
398,Palatka,100,US,6/17/2021 18:02,46,29.6486,-81.6376,87.78,3.47
399,Mossendjo,100,CG,6/17/2021 18:02,85,-2.9506,12.7261,71.87,1.79
400,Lumeje,13,AO,6/17/2021 18:02,29,-11.55,20.7833,64.51,3.91
401,Playas,82,EC,6/17/2021 18:02,78,-2.6333,-80.3833,76.06,11.36
403,Zhaotong,100,CN,6/17/2021 18:02,93,27.3167,103.7167,63.0,2.86
405,Kiama,0,AU,6/17/2021 18:02,67,-34.6833,150.8667,53.62,10.0
406,Tereze,88,RU,6/17/2021 18:02,97,43.9361,42.4434,57.7,3.78
407,Malaut,100,IN,6/17/2021 18:02,27,30.2167,74.4833,96.3,5.3
408,Khorixas,0,,6/17/2021 18:02,28,-20.3667,14.9667,66.92,9.13
410,Lunenburg,57,CA,6/17/2021 18:02,48,44.3835,-64.3155,73.71,14.36
413,Djibo,78,BF,6/17/2021 18:02,22,14.1022,-1.6306,99.37,6.26
417,Hambantota,97,LK,6/17/2021 18:02,81,6.1241,81.1185,79.79,15.64
418,Sitka,99,US,6/17/2021 18:02,70,57.0531,-135.33,56.64,3.13
420,Qingdao,98,CN,6/17/2021 18:02,88,36.0986,120.3719,68.58,4.97
421,Samarai,100,PG,6/17/2021 18:02,84,-10.6167,150.6667,79.18,9.19
424,Guilin,68,CN,6/17/2021 18:02,94,25.2819,110.2864,77.74,3.44
427,Tamano,100,JP,6/17/2021 18:02,84,34.4833,133.95,70.57,3.62
428,Bredasdorp,58,ZA,6/17/2021 18:02,90,-34.5322,20.0403,60.28,8.32
430,Kaeo,4,NZ,6/17/2021 18:02,96,-35.1,173.7833,45.32,1.97
432,Shetpe,0,KZ,6/17/2021 18:02,13,44.1667,52.1167,91.89,6.22
434,Kahului,26,US,6/17/2021 18:02,92,20.8947,-156.47,71.69,11.7
435,Gorahun,82,SL,6/17/2021 18:02,91,7.4661,-11.2375,78.42,4.0
436,Mareeba,35,AU,6/17/2021 18:02,96,-17.0,145.4333,66.42,1.07
437,Lamu,99,KE,6/17/2021 18:02,84,-2.2717,40.902,76.62,13.33
439,Cidreira,82,BR,6/17/2021 18:02,75,-30.1811,-50.2056,56.44,8.37
440,Takapau,32,NZ,6/17/2021 18:02,95,-40.0333,176.35,43.84,2.91
441,Shimoda,27,JP,6/17/2021 18:02,84,34.6667,138.95,67.1,5.03
445,Shelburne,55,CA,6/17/2021 18:02,19,44.0787,-80.2041,72.45,11.07
446,Requena,44,ES,6/17/2021 18:02,39,39.4883,-1.1004,78.12,16.2
450,Pingliang,96,CN,6/17/2021 18:03,65,35.5392,106.6861,56.16,2.53
451,Sambava,43,MG,6/17/2021 18:03,79,-14.2667,50.1667,71.92,12.46
452,Kabalo,79,CD,6/17/2021 18:03,30,-6.05,26.9167,77.29,3.29
454,Albany,2,US,6/17/2021 18:00,35,42.6001,-73.9662,72.37,8.81
455,Hohhot,74,CN,6/17/2021 18:03,37,40.8106,111.6522,60.19,4.38
456,Blythe,1,US,6/17/2021 18:03,18,33.6103,-114.5964,102.65,4.61
458,Minzhu,100,CN,6/17/2021 18:03,96,43.7286,127.3447,59.56,7.38
459,Guider,79,CM,6/17/2021 18:03,41,9.9342,13.9486,88.99,4.97
461,Shache,94,CN,6/17/2021 18:03,53,38.4167,77.2406,64.24,4.52
462,Douglas,1,US,6/17/2021 18:03,38,41.3,-96.167,96.75,10.0
463,Sola,13,VU,6/17/2021 18:03,79,-13.8833,167.55,80.46,15.32
465,Buta,100,CD,6/17/2021 18:03,99,2.7858,24.73,69.82,1.77
