City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
44,Busselton,5,AU,6/17/2021 17:59,81,-33.65,115.3333,51.48,8.28
45,Mataura,24,NZ,6/17/2021 17:59,97,-46.1927,168.8643,34.48,4.12
46,Mar del Plata,40,AR,6/17/2021 17:58,70,-38.0023,-57.5575,45.59,4
47,Jamestown,37,US,6/17/2021 17:58,38,42.097,-79.2353,71.47,1.01
48,Kapaa,21,US,6/17/2021 17:59,82,22.0752,-159.319,77.11,1.99
49,Majene,90,ID,6/17/2021 17:59,88,-3.5403,118.9707,76.82,5.14
50,Lábrea,93,BR,6/17/2021 17:59,48,-7.2586,-64.7981,90.01,3.94
51,Cape Town,20,ZA,6/17/2021 17:57,91,-33.9258,18.4232,57.27,4.61
52,Ancud,0,CL,6/17/2021 17:59,59,-41.8697,-73.8203,53.22,8.21
53,Diamantino,35,BR,6/17/2021 17:59,30,-14.4086,-56.4461,88.54,6.15
54,Coalinga,66,US,6/17/2021 17:59,30,36.1397,-120.3602,91.04,4.83
55,Nikolskoye,54,RU,6/17/2021 17:59,65,59.7035,30.7861,67.89,2.91
56,Ambilobe,91,MG,6/17/2021 17:59,82,-13.2,49.05,69.93,3.2
57,Lydenburg,0,ZA,6/17/2021 17:59,38,-25.0978,30.4597,50.4,1.77
58,Carnarvon,0,AU,6/17/2021 17:59,47,-24.8667,113.6333,50.07,8.05
59,Severo-Kuril'sk,96,RU,6/17/2021 17:59,92,50.6789,156.125,42.46,9.28
60,Olinda,40,BR,6/17/2021 18:00,69,-8.0089,-34.8553,80.33,10.36
61,Ihosy,0,MG,6/17/2021 18:00,86,-22.4,46.1167,58.05,3.56
62,Chantilly,0,US,6/17/2021 18:00,35,38.8943,-77.4311,75.87,3
63,Chake Chake,100,TZ,6/17/2021 18:00,83,-5.2459,39.7666,74.98,9.89
64,Mbandaka,98,CD,6/17/2021 18:00,82,0.0487,18.2603,74.41,7.36
65,São Félix do Xingu,17,BR,6/17/2021 18:00,37,-6.6447,-51.995,92.16,5.03
66,Port-Gentil,100,GA,6/17/2021 18:00,80,-0.7193,8.7815,78.8,12.24
67,Arraial do Cabo,45,BR,6/17/2021 18:00,76,-22.9661,-42.0278,69.26,10.18
68,Mitzic,93,GA,6/17/2021 18:00,95,0.7821,11.549,68.88,2.51
69,Quechultenango,99,MX,6/17/2021 18:00,62,17.4167,-99.2167,82.9,2.46
70,Ayr,20,GB,6/17/2021 18:00,59,55.4627,-4.6339,60.98,4.61
71,Vila,100,PT,6/17/2021 18:00,89,42.0304,-8.1588,53.65,4.81
72,Paracuru,34,BR,6/17/2021 18:00,70,-3.41,-39.0306,82.11,13.91
73,Broome,1,US,6/17/2021 18:00,41,42.2506,-75.833,70.92,1.99
74,Ca Mau,62,VN,6/17/2021 18:00,86,9.1769,105.15,79.48,4.47
75,Alappuzha,100,IN,6/17/2021 18:00,84,9.49,76.3264,80.73,8.86
76,Kollam,100,IN,6/17/2021 18:00,87,8.8833,76.6,82.27,9.31
77,Saint George,99,US,6/17/2021 17:58,12,37.1041,-113.5841,100.85,1.99
78,Ürümqi,0,CN,6/17/2021 17:56,25,43.801,87.6005,72.55,6.71
79,Hamilton,19,US,6/17/2021 18:00,44,39.1834,-84.5333,83.1,1.99
80,Provideniya,100,RU,6/17/2021 18:00,97,64.3833,-173.3,40.14,4.5
81,Somerset East,0,ZA,6/17/2021 18:00,57,-32.7217,25.588,53.53,1.72
82,Santiago,1,CL,6/17/2021 17:58,50,-33.4569,-70.6483,58.89,0
83,Nemuro,70,JP,6/17/2021 18:00,87,43.3236,145.575,46.51,4.81
84,Alice Springs,99,AU,6/17/2021 17:56,65,-23.7,133.8833,44.15,4.61
85,Dangtu,100,CN,6/17/2021 18:00,89,31.5723,118.4928,76.21,5.53
86,Statesboro,0,US,6/17/2021 18:00,31,32.4488,-81.7832,87.49,5.48
87,Leh,28,IN,6/17/2021 17:55,33,34.1667,77.5833,53.33,5.61
88,Yinchuan,72,CN,6/17/2021 18:00,27,38.4681,106.2731,70.92,1.5
89,Umm Kaddadah,94,SD,6/17/2021 18:00,33,13.6017,26.6876,89.44,1.5
90,Carutapera,22,BR,6/17/2021 18:00,77,-1.195,-46.02,82.87,5.88
91,Hervey Bay,38,AU,6/17/2021 18:00,59,-25.2986,152.8535,57.02,3
92,Harper,35,LR,6/17/2021 18:00,73,4.375,-7.7169,80.67,7.9
93,Tadine,24,NC,6/17/2021 18:00,87,-21.55,167.8833,70.95,6.78
94,Ponta do Sol,97,PT,6/17/2021 18:00,69,32.6667,-17.1,74.39,6.89
95,Abong Mbang,70,CM,6/17/2021 18:00,96,3.9833,13.1833,68.86,0.36
96,Tabas,0,IR,6/17/2021 18:00,7,33.5959,56.9244,89.08,8.52
97,Port Blair,100,IN,6/17/2021 18:00,82,11.6667,92.75,82.54,12.41
98,Puerto Escondido,100,MX,6/17/2021 18:00,72,15.85,-97.0667,83.46,13.31
99,Russell,0,US,6/17/2021 18:00,42,32.3502,-85.1999,88.86,4.5
100,Charagua,100,BO,6/17/2021 18:00,82,-19.8,-63.2167,46.42,6.55
101,Nantucket,38,US,6/17/2021 18:00,76,41.2835,-70.0995,68.67,9.13
102,Areosa,100,PT,6/17/2021 18:00,86,41.7178,-8.8571,61.92,20.54
103,Waddān,1,LY,6/17/2021 18:00,16,29.1614,16.139,90.81,8.08
104,Sinnamary,55,GF,6/17/2021 18:00,77,5.3833,-52.95,82.18,8.79
105,Boyuibe,100,BO,6/17/2021 18:00,87,-20.4167,-63.2833,44.29,6.51
106,Bayan,51,CN,6/17/2021 18:00,92,46.0833,127.4,59.07,6.49
